genome_id,ceftriaxone,ciprofloxacin,meropenem
562.102043,,,Susceptible
562.102047,,Susceptible,
562.102049,Susceptible,,
562.102051,,Susceptible,
562.102052,Susceptible,,
562.102054,,Susceptible,
562.102057,,Susceptible,
562.102058,Susceptible,,
562.102067,,,Susceptible
562.102078,Susceptible,,Susceptible
562.102129,,Susceptible,
562.102147,,,Susceptible
562.102161,,,Susceptible
562.102175,,,Susceptible
562.102184,Susceptible,,
562.102196,Susceptible,,
562.10221,,Susceptible,
562.102214,,,Susceptible
562.102218,,Susceptible,
562.102226,,,Susceptible
562.102254,Susceptible,,
562.102257,Susceptible,,
562.102263,,,Susceptible
562.102264,,,Susceptible
562.102295,Susceptible,,Susceptible
562.102305,Resistant,,
562.102306,,Resistant,
562.102313,,Susceptible,
562.102318,Susceptible,,
562.102324,Susceptible,,
562.102326,,,Susceptible
562.102331,Susceptible,,
562.102344,,,Susceptible
562.102347,Resistant,,
562.102366,,,Susceptible
562.102375,,Susceptible,
562.102385,,,Susceptible
562.1024,Susceptible,,
562.102402,Susceptible,,
562.102403,Susceptible,,
562.102417,,,Susceptible
562.102419,,,Susceptible
562.102431,,,Susceptible
562.10244,,Resistant,
562.102453,,,Susceptible
562.102461,,Resistant,
562.102467,,,Susceptible
562.102474,,,Susceptible
562.102485,Susceptible,Resistant,
562.102488,Resistant,,
562.102494,,Resistant,
562.102514,Susceptible,,
562.102523,,Susceptible,
562.102531,Susceptible,,
562.102549,Susceptible,,
562.10255,Susceptible,,
562.102561,,Resistant,
562.102565,,,Susceptible
562.10257,,Resistant,
562.102572,Susceptible,,
562.102581,,,Susceptible
562.10259,,Resistant,
562.102606,,,Susceptible
562.102621,,,Susceptible
562.102639,,,Susceptible
562.10264,Resistant,,
562.102643,,Resistant,
562.102644,,,Susceptible
562.102647,Susceptible,,
562.102652,,Resistant,
562.102663,,,Susceptible
562.102677,,,Susceptible
562.102679,Susceptible,,
562.10269,,,Susceptible
562.102699,,Susceptible,
562.10272,,,Susceptible
562.102747,,,Susceptible
562.102748,,,Susceptible
