antibiotic,model,auc,mcc,accuracy,f1_macro,f1_S,f1_I,f1_R
ciprofloxacin,RandomForest (calibrated),0.8313474545325956,0.7096496444822722,0.84,0.5857207297995067,0.9074889867841409,0.0,0.8496732026143791
ceftriaxone,RandomForest (calibrated),0.8067927200304249,0.5888979641948404,0.795,0.5410742243665526,0.8669201520912547,0.0,0.7563025210084033
meropenem,RandomForest (calibrated),0.805475844358039,0.5824863154258898,0.87,0.532669983416252,0.9313432835820895,0.0,0.6666666666666666
